userId,storyId,score,time,mode
136757483,fr-retourne-toi,8,2019-11-18 06:43:05,
136757483,fr-c-est-qui,7,2019-11-18 17:29:54,
136757483,fr-le-cours-de-danse,7,2019-11-18 17:31:44,
136757483,fr-je-peux-vous-aider,7,2019-11-18 17:33:24,
136757483,fr-le-jardin,7,2019-11-18 17:35:28,
136757483,fr-apres-la-fermeture-1,8,2019-11-18 17:40:11,
136757483,fr-apres-la-fermeture-2,7,2019-11-18 17:43:44,
136757483,fr-j-entends-un-bruit,7,2019-11-18 17:45:49,
136757483,fr-la-visite-a-rome,6,2019-11-18 17:48:10,
136757483,fr-le-nouveau-centre-commercial,7,2019-11-18 17:50:11,
136757483,fr-bon-anniversaire,7,2019-11-18 21:49:19,
136757483,fr-les-vacances-parfaites,7,2019-11-18 21:50:58,
136757483,fr-le-touriste,7,2019-11-18 21:55:25,
136757483,fr-chambre-a-louer,8,2019-11-18 21:58:14,
136757483,fr-rendez-vous-mystere,7,2019-11-18 22:01:34,
136757483,fr-on-se-connait,8,2019-11-18 22:04:38,
136757483,fr-il-faut-qu-on-parle,8,2019-11-19 05:23:56,
136757483,fr-suis-les-fleches,7,2019-11-19 05:26:51,
136757483,fr-controle-routier-1,8,2019-11-19 06:02:20,
136757483,fr-controle-routier-2,6,2019-11-19 07:35:07,
136757483,fr-garde-d-oiseau-a-domicile,7,2019-11-19 07:37:46,
136757483,fr-les-joies-du-camping,7,2019-11-19 07:40:18,
136757483,fr-deuxieme-chapitre-1,7,2019-11-19 13:20:56,
136757483,fr-deuxieme-chapitre-2,7,2019-11-19 16:29:05,
136757483,fr-le-pire-des-rendez-vous,8,2019-11-19 16:32:16,
136757483,fr-l-amour-est-dans-l-air,7,2019-11-19 16:35:43,
136757483,fr-bonjour,6,2019-11-19 18:42:00,
136757483,fr-voiture-a-vendre,7,2019-11-19 21:51:30,
136757483,fr-haut-les-mains,7,2019-11-19 21:53:36,
136757483,fr-au-vide-grenier,8,2019-11-19 21:56:22,
136757483,fr-a-la-television,6,2019-11-19 21:59:24,
136757483,fr-apres-la-fermeture-2,8,2019-11-20 06:27:52,
136757483,fr-un-serpent,6,2019-11-20 06:31:21,
136757483,fr-la-boite-secrete,8,2019-11-20 06:35:07,
136757483,fr-retourne-toi,8,2019-11-20 06:37:29,
136757483,fr-le-sac-en-papier,8,2019-11-20 06:41:17,
136757483,fr-bonjour,7,2019-11-20 06:47:38,
